"No","Yes","Sum"
"Looking",0.0266360194699838,0.0129799891833423,0.0396160086533261
"NotWorking",0.237966468361276,0.111411573823688,0.349378042184965
"Working",0.476744186046512,0.134261763115197,0.611005949161709
"Sum",0.741346673877772,0.258653326122228,1
