"No","Yes","Sum"
"Healthy",0.289306475598215,0.0926051101798026,0.381911585778018
"Obese",0.252264431526294,0.103420305529269,0.355684737055563
"Overweight",0.191969717453021,0.0609706637826146,0.252940381235636
"Underweight",0.00784101662836285,0.0016222793024199,0.00946329593078275
"Sum",0.741381641205894,0.258618358794106,1
